feature,xgb_importance,rf_importance,avg_importance
away_played_europe,0.018754214,0.0019750613894604693,0.010364637718923046
home_played_europe,0.025271835,0.0022809543624639026,0.013776394584035848
away_expected_goals_avg5,0.02110475,0.009143631459518861,0.01512419037582705
home_expected_goals_avg5,0.021480078,0.00967386227307989,0.015576970075360307
home_goals_against_avg,0.01825398,0.01564871280587334,0.01695134650516817
home_rest_days,0.021114487,0.014192146186516905,0.01765331669374616
away_rest_days,0.020976368,0.014490561618313812,0.01773346497809173
away_goals_for_avg,0.019134644,0.01676082990864348,0.017947737163799167
away_goals_against_avg,0.020314619,0.01629732310401107,0.018305971024566416
away_form_5,0.019910684,0.018137746334048,0.019024215094731196
home_form_5,0.020904385,0.01717228624086546,0.019038335397148963
home_goals_for_avg,0.021825997,0.016769000424726562,0.019297498791805784
away_fouls_avg5,0.018655542,0.021684185943211205,0.020169864113730732
home_shots_on_goal_avg5,0.019458186,0.02187938485792945,0.02066878536965286
away_corner_kicks_avg5,0.019617656,0.02203686140877351,0.02082725882730059
home_h2h_win_rate,0.023046844,0.01905596767200419,0.02105140568978284
home_fouls_avg5,0.019611044,0.02371627858260312,0.021663661219075512
away_h2h_win_rate,0.023489892,0.020079930339174257,0.02178491141096591
home_corner_kicks_avg5,0.021358563,0.022350515464824642,0.021854539049109917
home_total_shots_avg5,0.020396477,0.02421711342048935,0.022306795015992184
home_shots_insidebox_avg5,0.020667905,0.024727996041217285,0.022697950514574267
away_shots_insidebox_avg5,0.02255888,0.024839139210951558,0.02369900915909421
away_shots_on_goal_avg5,0.025070406,0.02473363038243994,0.024902018439482376
home_passes_pct_avg5,0.02119829,0.028649880065521386,0.024924084767202925
away_gd_form,0.024722328,0.026453676013691495,0.025588002211622034
home_gd_form,0.02679355,0.02716872014389061,0.02698113542191994
away_total_shots_avg5,0.025094489,0.030288841206950655,0.027691664921304936
away_ball_possession_avg5,0.021643672,0.03520474747929887,0.0284242098088757
home_ball_possession_avg5,0.02570182,0.0336503410815648,0.029676080965968556
away_passes_pct_avg5,0.027261654,0.03642176142818056,0.0318417076716141
home_total_passes_avg5,0.029174393,0.04777919705182455,0.03847679504737328
away_total_passes_avg5,0.03488864,0.045015931471317425,0.03995228575871856
away_elo,0.071748786,0.07431382279398137,0.07303130423427667
home_elo,0.06854607,0.07885114098212373,0.07369860631536072
elo_diff,0.14024879,0.13433882085051424,0.13729380561692658
