League,Match,Outcome,Model Prob,Betclic Odds,Implied Prob,Edge,EV,Value Bet
Bundesliga J26,B. Leverkusen vs Bayern Munich,H,0.3689684,4.7,0.19923779633469707,0.1697306,0.73415136,True
Premier League J30,Nottingham Forest vs Fulham,A,0.41807774,3.27,0.2853704114274855,0.13270733,0.3671142,True
Bundesliga J26,Stuttgart vs RB Leipzig,H,0.5171888,2.2,0.424805179094751,0.09238362,0.13781536,True
Bundesliga J26,Hoffenheim vs Wolfsburg,H,0.7343843,1.45,0.6446858926197769,0.089698434,0.064857244,True
La Liga J28,Atletico Madrid vs Getafe,H,0.6807808,1.58,0.5923413408341176,0.088439465,0.075633764,True
Ligue 1 J26,Rennes vs Lille,A,0.40619192,2.93,0.3192473693451639,0.08694455,0.1901424,True
Premier League J30,Chelsea vs Newcastle,H,0.6168547,1.75,0.5341532545457559,0.082701445,0.07949579,True
Serie A J29,Inter Milan vs Atalanta,H,0.6964332,1.52,0.6138450428144021,0.082588136,0.058578372,True
Bundesliga J26,Fribourg vs Union Berlin,D,0.3684683,3.27,0.2860570965495809,0.08241123,0.20489132,True
Premier League J30,Crystal Palace vs Leeds,H,0.4839201,2.3,0.4069238458556886,0.07699624,0.11301625,True
Premier League J30,Manchester United vs Aston Villa,D,0.3129966,3.93,0.23767700656506677,0.07531959,0.23007667,True
Serie A J29,Hellas Verone vs Genoa,A,0.46727547,2.37,0.3944332812383717,0.07284218,0.107442856,True
Serie A J29,Come vs Roma,H,0.5192696,2.02,0.4503378767202118,0.0689317,0.048924565,True
Premier League J30,Liverpool vs Tottenham,H,0.77637994,1.32,0.7090576395242453,0.067322314,0.02482152,True
Bundesliga J26,B. Leverkusen vs Bayern Munich,D,0.27356726,4.5,0.20809280950512804,0.06547445,0.23105264,True
Premier League J30,West Ham vs Manchester City,A,0.6341804,1.64,0.5713218820014936,0.06285852,0.04005587,True
Ligue 1 J26,Metz vs Toulouse,A,0.5349417,1.97,0.4742352699650995,0.060706407,0.053835154,True
La Liga J28,Girone vs Athletic Bilbao,H,0.4042725,2.72,0.344008715502867,0.060263783,0.09962118,True
Premier League J30,Burnley vs Bournemouth,A,0.5689312,1.82,0.5131638982832423,0.055767298,0.03545487,True
